你的性别（必填）,你的家乡（必填）,你有没有到过墨尔本？（必填）,你现在是在墨尔本（澳大利亚境内）还是在国内/澳大利亚境外？（必填）,你现在在哪个省份？（必填）,你的专业（必填）,你现在的学位（必填）,请标注具体的年级（必填）,你的毕业时间（必填）,你是单身还是处于一段关系中？（必填）,你有宠物吗？（必填）,你在CSSA哪个部门？（必填）,你加入CSSA社团多久了（必填）,每周在社团（社团相关）事物上花费的时间（必填）,网课/线上课的出勤率（必填）,你对网课的评价（必填）,平均每天在学业上花的时间（必填）,给你自己目前感到的学习压力打分，你会打？（必填）,今年相比去年：（必填）,是否有明确的职业规划（必填）,你一般会通过哪些途径结交新朋友（必填）,如果上述的情况都没有，请跟我们分享一下你结交新朋友的途径吧！,进入墨大后认识的朋友数量（必填）,每天在社交平台上花费的时间（小时）（必填）,每天在视频网站上花费的时间（小时）（必填）,你最希望从社团收获什么？（必填）,如果你有其他的建议，不要吝啬你的想法哦（必填）,你是否打游戏（必填）,主要玩PC游戏还是手机游戏（必填）,平均每周要玩多少小时（必填）,你是否在游戏中氪金（必填）,你更喜欢组队玩游戏还是单排（必填）,是否关注电子竞技赛事（必填）,你是否喜欢运动（必填）,你对哪种运动更感兴趣？（必填）,你对哪种球类运动更感兴趣（必填）,你还对哪些球类感兴趣？,每周平均运动几次（必填）,是否关注体育比赛赛事（必填）,是否想了解如何选择最适合自己的课（必填）,想了解哪种类型的课（必填）,是否想与同专业的小伙伴建立学习小组（必填）,是否想了解如何构思简历？（必填）,是否想要参加学生会与其他公司组织的宣讲活动？（必填）,是否想要论坛上分享与工作相关的经历（实习经历/面试经历/工作经历）？（必填）,你的性格是（必填）,平均一个月发条朋友圈？（必填）,是否想参加部门的线下活动（必填）,在哪里呢？（必填）,具体城市是？（必填）,你想参加什么类型的活动？（必填）,你经常点外卖吗（必填）,如果你有充足的时间，你是愿意自己做饭？（必填）,你经常吃什么类的食物？（必填）,你经常喝奶茶吗？（必填）,有什么推荐的奶茶店,你喜欢吃辣吗？（必填）,你觉得墨尔本和家乡的饭菜哪个更好吃？（必填）
女,上海,有,我在国内/澳大利亚境外,上海,Computing and Information ,硕士学位,研一,2022-sem1,单身,否,信息部,我是老社员,5小时以上,recording小天才就是我（20-40%）,3,3-5小时,5,学习压力更大,我还需要想想,"学业交流, 社团活动, 校内活动/朋友介绍",,11月25日,3月5日,1月3日,工作,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,是,是,是,我想要社交但不敢主动说话，总是很被动,1-2条,是,,近一点,有干货的,是,是,"中餐, 西餐, 韩餐, 日料",有时候,,会死,都很好
女,陕西,有,我在墨尔本,无须作答,Sciences and mathematics,硕士学位,研二,2022-sem2,单身,否,信息部,我是老社员,1-3小时,网课也不能浇灭我的热情！（60-80%）,4,7小时以上,4,学习压力更大,迷茫中,校内活动/朋友介绍,,0-10,1月3日,1月3日,游戏,无须作答,否,无须作答,无须作答,无须作答,无须作答,否,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,是,是,我不喜欢社交,1-2条,考虑一下,,墨尔本,吃饭,否,是,"中餐, 西餐",不怎么喝,,还行,都很好
女,广东,有,我在国内/澳大利亚境外,广东,其他,硕士学位,研二,2022-sem1,单身,否,信息部,我是老社员,3-5小时,冲呀！（80-100%）,3,1-3小时,4,学习压力更大,我已经想好啦！,校内活动/朋友介绍,,11月25日,5+,3月5日,工作,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,是,否,是,我比较大方，喜欢主动社交,5-10条,是,,深圳 广州,剧本杀，密室逃脱,是,是,中餐,有时候,,还行,家乡
女,北京,有,我在国内/澳大利亚境外,北京,"Commerce, economics and management",学士学位,大二,2022-sem2,交往中,否,宣传部,我是这学期新加入的成员,1-3小时,网课也不能浇灭我的热情！（60-80%）,4,1-3小时,4,学习压力更大,迷茫中,"学业交流, 社团活动, 校内活动/朋友介绍",,11月25日,1月3日,3月5日,一起学习的友友,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,是,"专业课, 选修课",是,无须作答,无须作答,无须作答,我比较大方，喜欢主动社交,1-2条,是,都可以，能见面就行,无须作答,迅速拉近距离的团建,否,是,"中餐, 韩餐, 日料",有时候,,还行,都很好
男,江苏,有,我在国内/澳大利亚境外,江苏,其他,学士学位,大二上,2023-sem1,单身,是,组织部,我是老社员,5小时以上,网课也不能浇灭我的热情！（60-80%）,3,3-5小时,3,学习压力一样,我还需要想想,"社团活动, 校内活动/朋友介绍, 其他",,50+,1月3日,3月5日,一起游戏的友友,无须作答,是,PC端,10+,是,组队,是,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,我比较大方，喜欢主动社交,5-10条,是,都可以，能见面就行,无须作答,都行,否,是,"中餐, 西餐, 韩餐, 日料",不怎么喝,茶颜悦色,还行,都很好
女,江苏,没有,我在国内/澳大利亚境外,江苏,Computing and Information ,学士学位,大二,2023-sem1,单身,否,信息部,我是这学期新加入的成员,1-3小时,冲呀！（80-100%）,4,7小时以上,4,学习压力更大,迷茫中,"学业交流, 社团活动, 校内活动/朋友介绍",,11月25日,1月3日,0-1,一起学习的友友,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,是,"专业课, 选修课, Breadth",是,无须作答,无须作答,无须作答,我想要社交但不敢主动说话，总是很被动,3-5条,考虑一下,有想好的具体城市,江浙沪附近一些,都可以啦,否,是,"中餐, 西餐",不怎么喝,,超级喜欢,没去过墨尔本但保持期待
女,江苏,有,我在国内/澳大利亚境外,江苏,"Commerce, economics and management",学士学位,大二,2023-sem2,单身,否,人力资源部,我是这学期新加入的成员,1-3小时,我...尽量参加（40-60%）,2,3-5小时,3,学习压力更小,迷茫中,"学业交流, 社团活动, 校内活动/朋友介绍",,50+,1月3日,1月3日,一起学习的友友,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,是,"专业课, Breadth",是,无须作答,无须作答,无须作答,我比较大方，喜欢主动社交,3-5条,是,有想好的具体城市,上海,碰到人就行,否,是,中餐,不怎么喝,,会死,家乡
男,福建,有,我在国内/澳大利亚境外,福建,Computing and Information ,学士学位,大三,2021-sem2,交往中,否,外联部,我是老社员,1-3小时,冲呀！（80-100%）,1,3-5小时,3,学习压力一样,我还需要想想,"学业交流, 社团活动, 校内活动/朋友介绍",,50+,3月5日,1月3日,工作讯息,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,是,是,是,墨尔本大学没有我不认识的人,5-10条,是,都可以，能见面就行,无须作答,聚餐,否,否,"中餐, 日料",不怎么喝,,不太行,墨尔本
男,其他,有,我在国内/澳大利亚境外,其他,"Medicine, dentistry, health and welfare",学士学位,大二/大三,2022-sem2,单身,否,组织部,我是老社员,1-3小时,冲呀！（80-100%）,1,5-7小时,4,学习压力一样,我还需要想想,"学业交流, 社团活动, 校内活动/朋友介绍",,0-10,1月3日,0-1,工作讯息,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,是,是,是,我比较大方，喜欢主动社交,1-2条,是,都可以，能见面就行,无须作答,找工作,否,是,"西餐, 韩餐, 日料",从不喝奶茶,,不太行,墨尔本
女,广东,有,我在墨尔本,无须作答,Computing and Information ,学士学位,大二,2022-sem2,单身,否,宣传部,我是老社员,5小时以上,我...尽量参加（40-60%）,3,5-7小时,5,学习压力更大,迷茫中,社团活动,,11月25日,0-1,1月3日,一起学习的友友,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,是,"专业课, 选修课",是,无须作答,无须作答,无须作答,我想要社交但不敢主动说话，总是很被动,1-2条,是,都可以，能见面就行,无须作答,游戏类,是,是,中餐,有时候,Toptea！！！,超级喜欢,家乡
女,浙江,有,我在墨尔本,无须作答,"Commerce, economics and management",硕士学位,研二,2022-sem1,交往中,是,宣传部,我是这学期新加入的成员,1-3小时,冲呀！（80-100%）,3,7小时以上,4,学习压力一样,我还需要想想,"学业交流, 社团活动, 校内活动/朋友介绍",,11月25日,1月3日,1月3日,工作讯息,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,"专业课, 选修课, Breadth",是,是,是,是,我想要社交但不敢主动说话，总是很被动,1-2条,是,都可以，能见面就行,无须作答,剧本杀、滑雪、吃饭,是,是,"中餐, 西餐, 韩餐, 日料",不怎么喝,toptea,还行,家乡
男,上海,有,我在墨尔本,无须作答,Data Science,学士学位,大一,2023-sem2,单身,否,组织部,我是老社员,5小时以上,冲呀！（80-100%）,3,7小时以上,4,学习压力一样,我已经想好啦！,"学业交流, 社团活动",,26-50,1月3日,0-1,一起学习的友友,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,否,"专业课, 选修课, Breadth",是,无须作答,无须作答,无须作答,我比较大方，喜欢主动社交,5-10条,是,都可以，能见面就行,无须作答,游戏（跑男）类,否,是,"中餐, 西餐",不怎么喝,,会死,都很好
女,河南,没有,我在国内/澳大利亚境外,上海,"Commerce, economics and management",学士学位,大二,2023-sem2,单身,否,外联部,我是这学期新加入的成员,1-3小时,冲呀！（80-100%）,3,7小时以上,4,学习压力一样,我已经想好啦！,"学业交流, 社团活动",,0-10,1月3日,0-1,一起学习的友友,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,是,专业课,否,无须作答,无须作答,无须作答,我想要社交但不敢主动说话，总是很被动,到现在还不知道怎么发朋友圈,是,都可以，能见面就行,无须作答,一起玩游戏，社交类型的活动,否,否,"中餐, 西餐",从不喝奶茶,,还行,没去过墨尔本但保持期待
女,上海,有,我在国内/澳大利亚境外,江苏,"Commerce, economics and management",学士学位,大二,2022-sem2,交往中,否,外联部,我是老社员,1小时以下,网课也不能浇灭我的热情！（60-80%）,4,3-5小时,4,学习压力更大,我已经想好啦！,"学业交流, 校内活动/朋友介绍",,26-50,3月5日,1月3日,一起学习的友友,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,是,"专业课, 选修课, Breadth",是,无须作答,无须作答,无须作答,我比较大方，喜欢主动社交,3-5条,是,都可以，能见面就行,无须作答,交友,否,是,"中餐, 韩餐, 日料",有时候,,还行,家乡
男,江苏,有,我在国内/澳大利亚境外,江苏,"Language, literature and cultural studies",学士学位,大一,2023-sem2,单身,否,宣传部,我是这学期新加入的成员,1-3小时,网课也不能浇灭我的热情！（60-80%）,1,1-3小时,3,我去年还没入学,我还需要想想,"社团活动, 其他",,0-10,3月5日,0-1,一起运动的友友,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,是,健身（有氧，无氧）,"羽毛球, 乒乓球, 足球",足球,5+,是,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,我想要社交但不敢主动说话，总是很被动,3-5条,是,都可以，能见面就行,无须作答,聚会,否,是,中餐,不怎么喝,,还行,都很好
女,江苏,有,我在墨尔本,无须作答,Computing and Information ,学士学位,大二,2022-sem2,单身,否,信息部,我是老社员,1-3小时,冲呀！（80-100%）,3,5-7小时,3,学习压力更小,我已经想好啦！,"社团活动, 校内活动/朋友介绍",,11月25日,1月3日,1月3日,一起学习的友友,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,是,专业课,是,无须作答,无须作答,无须作答,我比较大方，喜欢主动社交,1-2条,是,有想好的具体城市,墨尔本,Party,否,是,"中餐, 西餐",不怎么喝,,还行,家乡
男,江苏,有,我在墨尔本,无须作答,Data Science,学士学位,大二,2022-sem2,单身,否,信息部,我是这学期新加入的成员,1-3小时,网课也不能浇灭我的热情！（60-80%）,4,5-7小时,4,学习压力更大,我还需要想想,"学业交流, 社团活动, 校内活动/朋友介绍",,0-10,1月3日,0-1,一起游戏的友友,无须作答,是,PC端,2月5日,是,组队,否,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,我比较大方，喜欢主动社交,1-2条,是,都可以，能见面就行,无须作答,都行,是,是,中餐,有时候,都差不多…,超级喜欢,都很好
女,河北,没有,我在国内/澳大利亚境外,河北,"Commerce, economics and management",学士学位,大二,2023-sem1,单身,否,人力资源部,我是老社员,1-3小时,冲呀！（80-100%）,3,3-5小时,4,学习压力更大,我还需要想想,"学业交流, 社团活动, 校内活动/朋友介绍",,50+,5+,1月3日,一起学习的友友,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,是,专业课,是,无须作答,无须作答,无须作答,我比较大方，喜欢主动社交,3-5条,是,都可以，能见面就行,无须作答,密室剧本杀,是,是,中餐,经常,,超级喜欢,没去过墨尔本但保持期待
男,上海,有,我在墨尔本,无须作答,Computing and Information ,学士学位,大三,2021-sem2,单身,否,信息部,我是老社员,1-3小时,recording小天才就是我（20-40%）,3,1-3小时,4,学习压力更大,我还需要想想,"学业交流, 社团活动, 校内活动/朋友介绍",,26-50,1月3日,3月5日,一起学习的友友,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,是,"专业课, 选修课",是,无须作答,无须作答,无须作答,我想要社交但不敢主动说话，总是很被动,1-2条,考虑一下,都可以，能见面就行,无须作答,干饭,否,否,"中餐, 日料",有时候,,还行,都很好
男,湖南,有,我在墨尔本,无须作答,"Medicine, dentistry, health and welfare",学士学位,大二,2022-sem2,交往中,否,外联部,我是老社员,1小时以下,冲呀！（80-100%）,3,3-5小时,4,学习压力更大,我还需要想想,"学业交流, 社团活动",,0-10,1月3日,1月3日,一起运动的友友,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,是,"球类运动, 健身（有氧，无氧）","篮球, 羽毛球",,3月5日,是,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,我不喜欢社交,1-2条,否,无须作答,无须作答,无须作答,否,否,"中餐, 西餐, 韩餐, 日料",有时候,,超级喜欢,墨尔本
女,浙江,没有,我在国内/澳大利亚境外,浙江,Political and social studies,学士学位,大二,2023-sem1,单身,否,外联部,我是老社员,1-3小时,网课也不能浇灭我的热情！（60-80%）,4,1-3小时,2,学习压力更大,我已经想好啦！,"社团活动, 校内活动/朋友介绍",,11月25日,1月3日,3月5日,一起游戏的友友,无须作答,是,手机端,2月5日,是,组队,是,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,我想要社交但不敢主动说话，总是很被动,1-2条,是,都可以，能见面就行,无须作答,都可以,是,是,日料,不怎么喝,,会死,没去过墨尔本但保持期待
男,广西,有,我在墨尔本,无须作答,Computing and Information ,学士学位,大二,2022-sem2,交往中,否,信息部,我是老社员,1-3小时,我...尽量参加（40-60%）,3,3-5小时,4,学习压力一样,我已经想好啦！,"学业交流, 社团活动",多参加活动,11月25日,1月3日,1月3日,一起学习的友友,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,是,选修课,是,无须作答,无须作答,无须作答,我比较大方，喜欢主动社交,1-2条,是,都可以，能见面就行,无须作答,聚餐,是,是,"中餐, 西餐, 韩餐, 日料",不怎么喝,,还行,都很好
男,浙江,有,我在国内/澳大利亚境外,浙江,Sciences and mathematics,学士学位,大三,2021-sem2,单身,是,信息部,我是老社员,1-3小时,网课也不能浇灭我的热情！（60-80%）,2,3-5小时,4,学习压力一样,我还需要想想,"学业交流, 社团活动, 校内活动/朋友介绍",,11月25日,3月5日,1月3日,工作讯息,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,是,是,是,我比较大方，喜欢主动社交,1-2条,否,无须作答,无须作答,无须作答,是,是,"中餐, 日料",有时候,,还行,都很好
女,江苏,有,我在墨尔本,无须作答,Sciences and mathematics,学士学位,大二,2022-sem2,交往中,否,人力资源部,我是老社员,5小时以上,recording小天才就是我（20-40%）,2,5-7小时,4,学习压力更大,我还需要想想,"学业交流, 社团活动, 校内活动/朋友介绍, 其他",,26-50,3月5日,3月5日,一起学习的友友,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,是,"专业课, 选修课, Breadth",是,无须作答,无须作答,无须作答,我想要社交但不敢主动说话，总是很被动,3-5条,是,都可以，能见面就行,无须作答,吃饭,是,否,"中餐, 西餐, 韩餐, 日料",经常,top tea,还行,家乡
男,上海,有,我在墨尔本,无须作答,"Commerce, economics and management",学士学位,大一,2023-sem2,单身,否,人力资源部,我是老社员,1小时以下,冲呀！（80-100%）,4,1-3小时,4,我去年还没入学,迷茫中,"学业交流, 社团活动, 校内活动/朋友介绍",,0-10,3月5日,3月5日,一起游戏的友友,无须作答,是,手机端,5月10日,是,组队,否,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,我想要社交但不敢主动说话，总是很被动,1-2条,考虑一下,都可以，能见面就行,无须作答,能和其他部门一起的活动，最好可以维持几天的活动否则交不到朋友,否,是,中餐,经常,茶颜悦色,超级喜欢,都很好
女,山东,有,我在墨尔本,无须作答,"Medicine, dentistry, health and welfare",学士学位,大一,2023-sem2,单身,否,外联部,我是老社员,1小时以下,recording小天才就是我（20-40%）,3,1-3小时,3,我去年还没入学,我还需要想想,"学业交流, 社团活动, 校内活动/朋友介绍",,11月25日,5+,1月3日,一起学习的友友,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,是,"专业课, 选修课, Breadth",是,无须作答,无须作答,无须作答,我想要社交但不敢主动说话，总是很被动,5-10条,是,有想好的具体城市,墨尔本,团建或者聚餐都可以,否,是,"中餐, 韩餐",有时候,Top Tea和Ins Tea,超级喜欢,家乡
女,江苏,有,我在国内/澳大利亚境外,江苏,Computing and Information ,学士学位,大一,2023-sem2,单身,否,信息部,我是这学期新加入的成员,1-3小时,我...尽量参加（40-60%）,3,3-5小时,4,我去年还没入学,我已经想好啦！,"学业交流, 社团活动, 校内活动/朋友介绍",,11月25日,1月3日,1月3日,一起游戏的友友,无须作答,是,手机端,0-2,是,单排,是,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,我想要社交但不敢主动说话，总是很被动,3-5条,是,有想好的具体城市,上海,团建,是,是,"中餐, 韩餐",有时候,茶百道，拾叁茶,超级喜欢,家乡
男,江西,有,我在国内/澳大利亚境外,江西,"Commerce, economics and management",学士学位,大二,2023-sem2,单身,否,外联部,我是这学期新加入的成员,1-3小时,我...尽量参加（40-60%）,3,3-5小时,5,学习压力更大,我还需要想想,"学业交流, 社团活动, 校内活动/朋友介绍",,0-10,1月3日,1月3日,一起游戏的友友,无须作答,是,手机端,10+,是,组队,是,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,我想要社交但不敢主动说话，总是很被动,3-5条,是,都可以，能见面就行,无须作答,桌游,是,否,"中餐, 西餐, 日料",经常,国内茶百道喜茶七分甜，墨尔本coco teaser（好久没去了）,还行,家乡
女,河南,有,我在墨尔本,无须作答,"Architecture, Building and planning",学士学位,大一,2023-sem1,单身,否,组织部,我是老社员,1-3小时,冲呀！（80-100%）,3,5-7小时,4,学习压力更大,迷茫中,其他,,0-10,3月5日,3月5日,一起游戏的友友,无须作答,是,手机端,0-2,是,组队,否,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,我想要社交但不敢主动说话，总是很被动,1-2条,考虑一下,都可以，能见面就行,无须作答,游戏类型的吧,是,是,"中餐, 韩餐",经常,,超级喜欢,都很好
男,上海,有,我在墨尔本,无须作答,Sciences and mathematics,学士学位,大二,2022-sem2,单身,否,外联部,我是这学期新加入的成员,1-3小时,冲呀！（80-100%）,4,3-5小时,4,学习压力一样,我还需要想想,"学业交流, 社团活动, 校内活动/朋友介绍",,11月25日,1月3日,3月5日,一起游戏的友友,无须作答,是,手机端,10+,是,组队,是,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,我比较大方，喜欢主动社交,1-2条,是,都可以，能见面就行,无须作答,开心玩的！,是,是,"中餐, 西餐, 韩餐, 日料",有时候,,还行,都很好
男,江苏,有,我在国内/澳大利亚境外,江苏,"Accounting, Finance and Actuarial",学士学位,大三,2022-sem1,单身,是,组织部,我是老社员,5小时以上,我已经忘了老师长什么样子了（0-20%）,1,1小时以下,1,学习压力一样,我还需要想想,不结交,,50+,1月3日,0-1,一起游戏的友友,无须作答,是,手机端,10+,是,单排,是,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,我想要社交但不敢主动说话，总是很被动,3-5条,是,都可以，能见面就行,无须作答,都可以,是,是,"中餐, 西餐, 韩餐, 日料",从不喝奶茶,,不太行,都很好
女,广东,有,我在国内/澳大利亚境外,广西,Data Science,学士学位,大三,2021-sem2,交往中,否,信息部,我是老社员,1-3小时,recording小天才就是我（20-40%）,3,5-7小时,4,学习压力更大,我还需要想想,"学业交流, 社团活动, 校内活动/朋友介绍",,50+,5+,3月5日,一起游戏的友友,无须作答,是,手机端,2月5日,是,组队,是,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,我比较大方，喜欢主动社交,1-2条,是,有想好的具体城市,广州,聚餐、剧本杀,是,是,"中餐, 西餐, 韩餐, 日料",经常,茶理宜世,超级喜欢,都很好
男,上海,有,我在墨尔本,无须作答,Computing and Information ,学士学位,大二,2022-sem2,交往中,否,信息部,我是老社员,1-3小时,网课也不能浇灭我的热情！（60-80%）,4,3-5小时,1,学习压力一样,我还需要想想,"学业交流, 社团活动, 校内活动/朋友介绍",,11月25日,0-1,3月5日,一起游戏的友友,无须作答,是,PC端,5月10日,是,组队,否,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,我比较大方，喜欢主动社交,1-2条,是,都可以，能见面就行,无须作答,都可以,是,是,中餐,经常,,超级喜欢,都很好
女,澳门,有,我在国内/澳大利亚境外,北京,"Agriculture, Food Science",学士学位,大三,2021-sem2,交往中,否,外联部,我是老社员,5小时以上,recording小天才就是我（20-40%）,3,1小时以下,3,学习压力一样,我还需要想想,"学业交流, 社团活动, 校内活动/朋友介绍",,50+,5+,5+,工作讯息,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,是,是,是,我比较大方，喜欢主动社交,5-10条,是,都可以，能见面就行,无须作答,都行,是,是,"中餐, 西餐, 韩餐, 日料",经常,茶百道,超级喜欢,都很好
女,浙江,有,我在国内/澳大利亚境外,湖南,"Commerce, economics and management",学士学位,大二,2023-sem1,交往中,是,人力资源部,我是这学期新加入的成员,1-3小时,网课也不能浇灭我的热情！（60-80%）,2,5-7小时,4,学习压力更大,我还需要想想,"学业交流, 社团活动, 校内活动/朋友介绍",,11月25日,1月3日,1月3日,一起学习的友友,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,是,专业课,是,无须作答,无须作答,无须作答,我比较大方，喜欢主动社交,1-2条,是,有想好的具体城市,上海,交友,是,是,"中餐, 西餐, 韩餐, 日料",经常,茶颜悦色,还行,都很好
女,山东,有,我在墨尔本,无须作答,Computing and Information ,硕士学位,研一,2022-sem2,交往中,否,组织部,我是老社员,1-3小时,冲呀！（80-100%）,4,1-3小时,4,学习压力一样,我还需要想想,"社团活动, 校内活动/朋友介绍, 其他",,11月25日,1月3日,1月3日,一起游戏的友友,无须作答,否,无须作答,无须作答,无须作答,无须作答,否,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,无须作答,我比较大方，喜欢主动社交,3-5条,否,无须作答,无须作答,无须作答,是,是,"中餐, 韩餐, 日料",经常,Top tea,超级喜欢,家乡
